Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
44,Chad Johnson\johnsch02,32,ANA,9,4,0,5,0,20,156,136,.872,3.75,0,0.3,320,1,.250,1,,,0,0,0,0
45,Martin Jones\jonesma02,29,SJS,44,44,28,11,4,124,1232,1108,.899,2.88,1,5.7,2579,20,.455,10,110,-11.14,0,1,1,2
46,Anton Khudobin\khudoan01,32,DAL,27,25,10,12,3,60,761,701,.921,2.52,2,5.3,1428,14,.560,2,86,9.71,0,0,0,2
47,Keith Kinkaid\kinkake01,29,NJD,40,37,15,17,6,125,1160,1035,.892,3.34,3,4.5,2243,15,.405,11,118,-18.74,0,0,0,0
48,Joonas Korpisalo\korpijo01,24,CBJ,20,16,9,4,2,50,507,457,.901,2.95,0,2.5,1015,5,.313,2,108,-3.56,0,0,0,0
49,Mikko Koskinen\koskimi01,30,EDM,33,29,14,14,2,86,905,819,.905,2.90,3,4.7,1778,12,.414,3,104,-3.10,0,1,1,0
50,Darcy Kuemper\kuempda01,28,ARI,33,33,14,14,5,88,1014,926,.913,2.68,2,6.2,1968,20,.606,5,95,4.89,0,0,0,6
51,Maxime Lagace\lagacma01,26,VEG,1,1,0,1,0,4,31,27,.871,4.03,0,0.1,60,0,.000,0,,,0,0,0,0
52,Robin Lehner\lehnero01,27,NYI,32,30,18,9,4,64,904,840,.929,2.08,3,7.0,1847,19,.633,2,77,18.81,0,1,1,0
53,Henrik Lundqvist\lundqhe01,36,NYR,40,40,16,15,8,119,1277,1158,.907,3.02,0,6.9,2368,22,.550,5,102,-2.02,0,3,3,0
54,Roberto Luongo\luongro01,39,FLA,30,29,12,13,1,83,788,705,.895,3.14,1,3.3,1584,14,.483,7,115,-10.82,0,1,1,0
55,Alex Lyon\lyonal01,26,PHI,2,1,0,1,0,6,31,25,.806,5.08,0,-0.2,71,0,.000,1,,,0,0,0,0
56,Jacob Markstrom\marksja02,29,VAN,45,45,22,17,6,126,1414,1288,.911,2.77,0,8.3,2726,25,.556,4,97,3.53,0,1,1,0
57,Curtis McElhinney\mcelhcu01,35,CAR,22,22,15,6,1,52,652,600,.920,2.36,1,4.5,1322,12,.545,4,87,7.73,0,0,0,0
