Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
587,Jamie Oleksiak\oleksja01,26,DAL,D,9,0,0,0,0,4,0.3,0,0,0,0,0,0,0,12,0.0,120,13:23,6,17,0,0,
588,Dmitry Orlov\orlovdm01,27,WSH,D,59,3,13,16,-8,27,2.1,3,0,0,0,12,1,0,73,4.1,1298,22:00,82,88,0,0,
589,Brooks Orpik\orpikbr01,38,WSH,D,31,2,3,5,1,13,1.1,2,0,0,0,3,0,0,21,9.5,483,15:35,52,79,0,0,
590,T.J. Oshie\oshietj01,32,WSH,C,48,18,18,36,4,28,3.9,13,4,1,4,13,5,0,103,17.5,903,18:48,36,107,56,77,42.1
591,Xavier Ouellet\ouellxa01,25,MTL,D,19,0,3,3,-3,13,0.6,0,0,0,0,3,0,0,32,0.0,323,17:01,30,32,0,0,
592,Alex Ovechkin\ovechal01,33,WSH,LW,58,40,27,67,9,30,8.7,29,11,0,2,19,8,0,232,17.2,1217,20:59,34,162,1,3,25.0
593,Igor Ozhiganov\ozhigig01,26,TOR,D,42,3,4,7,2,12,1.9,3,0,0,0,4,0,0,33,9.1,601,14:18,44,45,0,0,
594,Magnus Paajarvi\paajama01,27,OTT,LW,56,7,1,8,-19,2,-0.3,6,0,1,0,1,0,0,83,8.4,731,13:03,51,44,4,5,44.4
595,Max Pacioretty\pacioma01,30,VEG,LW,47,18,14,32,-9,26,3.7,15,3,0,3,11,3,0,138,13.0,811,17:15,20,84,15,25,37.5
596,Jean-Gabriel Pageau\pageaje01,26,OTT,C,16,1,3,4,0,2,0.1,1,0,0,0,3,0,0,31,3.2,269,16:49,15,28,108,78,58.1
597,Ondrej Palat\palaton01,27,TBL,LW,41,7,18,25,3,12,2.3,5,2,0,1,13,5,0,71,9.9,632,15:25,25,61,2,15,11.8
