Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
680,Jan Rutta\ruttaja02,28,CHI,D,23,2,4,6,0,12,1.2,2,0,0,0,4,0,0,22,9.1,375,16:18,21,18,0,0,
681,Bobby Ryan\ryanbo01,31,OTT,LW,55,12,22,34,-15,23,2.8,8,4,0,1,14,8,0,114,10.5,871,15:50,37,52,5,14,26.3
682,Derek Ryan\ryande01,32,CGY,C,57,5,18,23,1,20,1.6,3,2,0,1,9,5,4,63,7.9,747,13:06,13,12,265,204,56.5
683,Joakim Ryan\ryanjo02,25,SJS,D,34,0,5,5,3,11,1.3,0,0,0,0,5,0,0,28,0.0,423,12:27,36,24,0,0,
684,Kerby Rychel\rycheke01,24,CGY,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,18,9:11,1,3,0,1,0.0
685,Brandon Saad\saadbr01,26,CHI,LW,57,19,15,34,-6,8,3.4,11,5,3,2,14,1,0,139,13.7,991,17:24,21,35,17,33,34.0
686,Miikka Salomaki\salommi01,25,NSH,RW,37,3,4,7,5,8,0.7,3,0,0,0,4,0,0,51,5.9,387,10:27,20,72,2,5,28.6
687,Zach Sanford\sanfoza01,24,STL,LW,40,7,7,14,7,19,2.0,7,0,0,2,7,0,0,58,12.1,515,12:53,31,31,7,5,58.3
688,Travis Sanheim\sanhetr01,22,PHI,D,59,5,17,22,-2,12,4.5,3,2,0,1,15,2,0,90,5.6,1098,18:36,95,28,0,0,
689,Steven Santini\santist01,23,NJD,D,19,0,2,2,-7,10,0.2,0,0,0,0,2,0,0,20,0.0,289,15:12,15,38,0,0,
690,David Savard\savarda01,28,CBJ,D,57,4,10,14,10,26,4.2,4,0,0,1,10,0,0,73,5.5,1093,19:11,86,72,0,0,
691,Luca Sbisa\sbisalu01,29,NYI,D,9,0,1,1,0,4,0.4,0,0,0,0,1,0,0,5,0.0,139,15:28,7,17,0,0,
692,Marco Scandella\scandma01,28,BUF,D,48,4,6,10,-5,20,2.3,4,0,0,1,5,0,1,71,5.6,873,18:11,56,42,0,0,
693,Colton Sceviour\scevico01,29,FLA,C,49,5,9,14,-1,15,1.2,5,0,0,0,8,1,0,101,5.0,604,12:20,43,68,36,62,36.7
694,Tim Schaller\schalti01,28,VAN,LW,35,0,5,5,-4,7,-0.1,0,0,0,0,5,0,0,32,0.0,390,11:08,15,55,1,1,50.0
695,Mark Scheifele\scheima01,25,WPG,C,59,30,38,68,16,32,8.7,23,7,0,5,24,11,3,150,20.0,1327,22:30,39,39,601,694,46.4
696,Brayden Schenn\schenbr01,27,STL,C,54,11,28,39,2,30,4.3,9,2,0,4,22,6,0,109,10.1,1008,18:40,27,95,313,350,47.2
697,Luke Schenn\schenlu01,29,ANA,D,8,0,0,0,-6,7,-0.3,0,0,0,0,0,0,0,7,0.0,96,11:59,8,24,0,0,
698,Nikita Scherbak\scherni01,23,LAK,RW,8,1,0,1,-4,2,0.0,1,0,0,0,0,0,0,12,8.3,81,10:11,1,9,0,0,
699,Cameron Schilling\schilca01,30,WPG,D,4,0,1,1,0,0,0.2,0,0,0,0,1,0,0,2,0.0,48,12:06,5,3,0,0,
700,David Schlemko\schleda01,31,MTL,D,18,0,2,2,-1,4,0.7,0,0,0,0,0,2,0,29,0.0,357,19:51,45,29,0,0,
701,Jordan Schmaltz\schmajo01,25,STL,D,20,0,2,2,-7,2,0.3,0,0,0,0,2,0,0,11,0.0,230,11:29,22,10,0,0,
702,Nick Schmaltz\schmani01,22,TOT,C,40,7,18,25,-12,8,1.9,2,5,0,2,15,3,0,62,11.3,713,17:50,12,5,104,177,37.0
702,Nick Schmaltz\schmani01,22,CHI,C,23,2,9,11,-4,6,0.5,1,1,0,0,9,0,0,33,6.1,407,17:41,7,5,52,68,43.3
702,Nick Schmaltz\schmani01,22,ARI,C,17,5,9,14,-8,2,1.4,1,4,0,2,6,3,0,29,17.2,306,18:01,5,0,52,109,32.3
703,Nate Schmidt\schmina01,27,VEG,D,40,6,15,21,11,4,5.2,5,1,0,1,10,5,0,76,7.9,891,22:17,63,23,0,0,
704,Justin Schultz\schulju01,28,PIT,D,6,0,6,6,2,0,0.8,0,0,0,0,4,2,0,6,0.0,91,15:10,4,4,0,0,
705,Jaden Schwartz\schwaja01,26,STL,C,45,5,20,25,3,12,2.5,5,0,0,0,18,2,0,120,4.2,824,18:19,17,37,15,15,50.0
706,Brent Seabrook\seabrbr01,33,CHI,D,58,5,18,23,-7,31,3.4,3,2,0,1,10,7,1,123,4.1,1147,19:47,126,77,0,0,
707,Lukas Sedlak\sedlalu01,25,CBJ,C,41,3,2,5,-3,8,0.2,3,0,0,0,2,0,0,38,7.9,370,9:02,17,59,41,44,48.2
708,Nick Seeler\seeleni01,25,MIN,D,56,2,3,5,-8,47,1.6,2,0,0,1,3,0,0,60,3.3,698,12:28,91,57,0,0,
709,Tyler Seguin\seguity01,27,DAL,C,58,24,30,54,14,12,7.2,18,6,0,6,19,11,0,228,10.5,1206,20:47,34,52,466,392,54.3
710,Brett Seney\seneybr01,22,NJD,LW,47,5,7,12,-13,25,0.6,5,0,0,0,6,1,0,46,10.9,488,10:22,13,42,91,153,37.3
711,Mikhail Sergachev\sergami01,20,TBL,D,54,3,16,19,6,14,3.9,3,0,0,0,12,4,0,93,3.2,948,17:33,69,65,1,1,50.0
712,Damon Severson\severda01,24,NJD,D,59,8,20,28,-19,50,4.4,6,2,0,0,13,6,1,104,7.7,1267,21:28,56,66,0,0,
713,Kevin Shattenkirk\shattke01,30,NYR,D,50,2,16,18,-9,8,2.9,1,1,0,0,11,5,0,101,2.0,935,18:42,78,50,0,0,
714,Andrew Shaw\shawan01,27,MTL,C,40,12,15,27,9,48,3.3,9,3,0,2,13,2,0,84,14.3,630,15:45,20,77,111,136,44.9
715,Riley Sheahan\sheahri01,27,TOT,C,57,8,5,13,-8,13,0.7,7,0,1,2,4,0,1,71,11.3,734,12:53,31,56,191,203,48.5
715,Riley Sheahan\sheahri01,27,PIT,C,49,7,2,9,-7,13,0.4,6,0,1,2,1,0,1,60,11.7,620,12:39,26,50,154,159,49.2
715,Riley Sheahan\sheahri01,27,FLA,C,8,1,3,4,-1,0,0.3,1,0,0,0,3,0,0,11,9.1,114,14:15,5,6,37,44,45.7
716,Conor Sheary\shearco01,26,BUF,LW,54,9,15,24,-1,12,2.1,6,3,0,2,14,1,0,96,9.4,790,14:38,21,13,14,9,60.9
717,Kiefer Sherwood\sherwki01,23,ANA,RW,46,5,5,10,2,6,0.9,5,0,0,0,5,0,0,51,9.8,517,11:14,17,75,7,6,53.8
718,Kole Sherwood\sherwko01,22,CBJ,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,6:58,1,4,0,0,
719,Devin Shore\shorede01,24,TOT,C,55,6,15,21,-7,9,1.7,5,0,1,3,13,2,0,53,11.3,770,14:00,49,65,37,42,46.8
719,Devin Shore\shorede01,24,DAL,C,42,5,12,17,0,7,1.7,4,0,1,3,10,2,0,44,11.4,558,13:18,33,42,30,30,50.0
719,Devin Shore\shorede01,24,ANA,C,13,1,3,4,-7,2,0.0,1,0,0,0,3,0,0,9,11.1,212,16:16,16,23,7,12,36.8
720,Jonas Siegenthaler\siegejo01,21,WSH,D,25,0,4,4,7,10,1.1,0,0,0,0,4,0,0,12,0.0,350,14:00,43,31,0,0,
721,Dylan Sikura\sikurdy01,23,CHI,C,14,0,4,4,1,0,0.2,0,0,0,0,4,0,0,21,0.0,148,10:34,4,2,0,2,0.0
722,Jakob Silfverberg\silfvja01,28,ANA,LW,50,15,8,23,-15,24,2.1,11,2,2,1,4,4,0,112,13.4,838,16:46,32,30,8,13,38.1
723,Radim Simek\simekra01,26,SJS,D,30,1,7,8,8,4,2.1,1,0,0,1,7,0,0,24,4.2,463,15:27,26,52,0,0,
724,Wayne Simmonds\simmowa01,30,PHI,RW,59,16,11,27,-14,74,2.6,11,5,0,2,8,3,0,131,12.2,976,16:33,19,105,3,10,23.1
725,Dominik Simon\simondo01,24,PIT,C,49,7,14,21,6,12,2.0,6,1,0,0,13,1,0,76,9.2,655,13:22,17,66,6,9,40.0
726,Colton Sissons\sissoco01,25,NSH,C,54,10,14,24,22,15,3.2,9,1,0,3,12,1,1,79,12.7,889,16:28,43,68,307,295,51.0
727,Jeff Skinner\skinnje01,26,BUF,C,58,36,17,53,6,24,7.4,28,8,0,7,13,4,0,189,19.0,1084,18:42,19,17,107,96,52.7
728,Brady Skjei\skjeibr01,24,NYR,D,54,3,11,14,-6,22,3.2,3,0,0,1,10,0,1,76,3.9,1136,21:02,82,134,0,0,
729,Jaccob Slavin\slavija01,24,CAR,D,59,5,20,25,-5,16,6.3,2,3,0,1,17,2,1,106,4.7,1358,23:01,97,48,0,0,
730,Brendan Smith\smithbr05,29,NYR,D,41,2,7,9,-7,46,1.7,2,0,0,0,7,0,0,35,5.7,671,16:22,36,64,0,0,
731,C.J. Smith\smithcj01,24,BUF,LW,9,2,0,2,0,0,0.3,2,0,0,1,0,0,0,16,12.5,103,11:26,1,1,0,0,
732,Craig Smith\smithcr01,29,NSH,C,61,16,13,29,7,14,3.6,12,4,0,1,10,3,0,169,9.5,932,15:16,28,61,26,28,48.1
733,Gemel Smith\smithge02,24,TOT,C,17,2,1,3,-4,0,0.2,2,0,0,0,1,0,0,14,14.3,142,8:22,3,13,2,2,50.0
733,Gemel Smith\smithge02,24,DAL,C,14,2,1,3,-1,0,0.4,2,0,0,0,1,0,0,11,18.2,112,8:01,3,11,2,2,50.0
733,Gemel Smith\smithge02,24,BOS,C,3,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,3,0.0,30,10:00,0,2,0,0,
734,Reilly Smith\smithre01,27,VEG,RW,53,9,23,32,1,10,3.0,5,4,0,1,11,9,3,129,7.0,994,18:45,27,30,4,2,66.7
735,Zack Smith\smithza01,30,OTT,C,49,6,15,21,2,62,1.6,6,0,0,0,13,0,2,72,8.3,787,16:04,26,91,311,334,48.2
736,Devante Smith-Pelly\smithde06,26,WSH,RW,54,4,4,8,-6,15,-0.1,4,0,0,0,4,0,0,60,6.7,586,10:51,36,78,16,25,39.0
737,Vladimir Sobotka\sobotvl01,31,BUF,C,55,3,7,10,-15,16,-0.4,3,0,0,0,6,0,1,62,4.8,804,14:37,26,61,260,240,52.0
738,Carl Soderberg\soderca01,33,COL,C,58,18,16,34,-12,22,3.2,14,2,2,2,10,6,0,132,13.6,972,16:46,46,64,383,381,50.1
739,Marcus Sorensen\sorenma01,26,SJS,RW,59,11,8,19,6,15,2.0,10,0,1,0,7,0,1,70,15.7,741,12:34,23,62,10,12,45.5
740,Nikita Soshnikov\soshnni01,25,STL,RW,5,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,36,7:10,2,5,0,0,
741,Jason Spezza\spezzja01,35,DAL,C,56,6,16,22,-6,19,1.9,5,1,0,0,8,8,0,81,7.4,782,13:57,22,12,377,255,59.7
742,Ryan Spooner\spoonry01,27,TOT,C,41,3,2,5,-11,2,-0.2,3,0,0,1,2,0,0,49,6.1,445,10:51,4,28,52,50,51.0
742,Ryan Spooner\spoonry01,27,EDM,C,25,2,1,3,-6,2,0.0,2,0,0,1,1,0,0,25,8.0,242,9:40,1,18,28,32,46.7
742,Ryan Spooner\spoonry01,27,NYR,C,16,1,1,2,-5,0,-0.1,1,0,0,0,1,0,0,24,4.2,203,12:41,3,10,24,18,57.1
743,Daniel Sprong\spronda01,21,TOT,RW,45,9,8,17,-14,6,1.3,7,2,0,1,5,3,0,83,10.8,552,12:16,9,31,3,6,33.3
743,Daniel Sprong\spronda01,21,ANA,RW,29,9,4,13,-7,6,1.4,7,2,0,1,2,2,0,67,13.4,415,14:18,4,19,2,5,28.6
743,Daniel Sprong\spronda01,21,PIT,RW,16,0,4,4,-7,0,-0.1,0,0,0,0,3,1,0,16,0.0,137,8:34,5,12,1,1,50.0
744,Jared Spurgeon\spurgja01,29,MIN,D,59,11,25,36,6,14,8.1,10,1,0,0,19,5,1,115,9.6,1391,23:35,100,61,0,0,
745,Eric Staal\staaler01,34,MIN,C,58,17,20,37,0,28,4.2,13,4,0,4,16,3,1,167,10.2,1038,17:54,21,33,446,429,51.0
746,Jordan Staal\staaljo01,30,CAR,C,29,5,6,11,-11,16,0.8,5,0,0,0,5,1,0,79,6.3,570,19:40,10,84,355,272,56.6
747,Marc Staal\staalma01,32,NYR,D,58,3,10,13,-6,30,3.1,3,0,0,0,10,0,0,63,4.8,1136,19:35,74,71,0,0,
748,Drew Stafford\staffdr01,33,NJD,RW,34,2,6,8,-4,8,0.4,2,0,0,0,6,0,0,42,4.8,368,10:49,11,30,7,13,35.0
749,Steven Stamkos\stamkst01,28,TBL,C,59,32,39,71,0,29,8.5,18,14,0,5,23,16,0,179,17.9,1071,18:09,24,56,343,303,53.1
750,Paul Stastny\stastpa01,33,VEG,C,30,7,17,24,7,24,2.7,6,0,1,1,15,2,0,65,10.8,545,18:10,8,21,285,234,54.9
751,Troy Stecher\stechtr01,24,VAN,D,56,1,18,19,14,24,5.0,1,0,0,0,16,2,0,68,1.5,1034,18:28,54,60,0,0,
752,Sam Steel\steelsa01,20,ANA,C,13,1,2,3,-3,4,0.0,1,0,0,0,0,2,0,17,5.9,193,14:49,4,5,65,65,50.0
753,Alex Steen\steenal01,34,STL,C,42,6,12,18,-1,10,1.9,4,2,0,0,8,3,1,73,8.2,692,16:28,37,41,6,18,25.0
754,Kevin Stenlund\stenlke01,22,CBJ,C,4,0,0,0,0,4,-0.1,0,0,0,0,0,0,0,3,0.0,44,10:58,1,3,3,3,50.0
755,Derek Stepan\stepade01,28,ARI,C,58,11,16,27,-7,14,2.8,8,1,2,2,14,2,0,157,7.0,1112,19:10,40,42,512,579,46.9
756,Chandler Stephenson\stephch02,24,WSH,C,52,5,5,10,-9,0,0.0,4,0,1,0,5,0,0,31,16.1,647,12:27,28,28,35,39,47.3
757,Mark Stone\stonema01,26,OTT,RW,58,27,32,59,13,22,7.3,21,5,1,4,20,12,0,141,19.1,1193,20:34,53,50,25,28,47.2
758,Michael Stone\stonemi01,28,CGY,D,11,0,4,4,-1,8,0.5,0,0,0,0,4,0,0,10,0.0,176,16:02,13,23,0,0,
759,Anton Stralman\stralan01,32,TBL,D,39,2,14,16,13,8,3.8,2,0,0,0,13,1,0,47,4.3,810,20:46,56,48,0,0,
760,Ben Street\streebe01,31,ANA,C,21,3,2,5,-4,2,0.3,3,0,0,0,2,0,0,19,15.8,253,12:04,9,19,16,27,37.2
761,Dylan Strome\stromdy01,21,TOT,C,55,14,24,38,-7,16,3.7,9,5,0,3,16,8,0,101,13.9,877,15:57,32,11,338,343,49.6
761,Dylan Strome\stromdy01,21,CHI,C,35,11,21,32,3,10,3.4,9,2,0,2,14,7,0,61,18.0,607,17:20,23,9,200,243,45.1
761,Dylan Strome\stromdy01,21,ARI,C,20,3,3,6,-10,6,0.3,0,3,0,1,2,1,0,40,7.5,271,13:32,9,2,138,100,58.0
762,Ryan Strome\stromry01,25,TOT,C,57,8,9,17,-4,37,1.3,6,2,0,0,8,1,0,72,11.1,834,14:38,26,63,244,261,48.3
762,Ryan Strome\stromry01,25,NYR,C,39,7,8,15,-3,23,1.4,5,2,0,0,7,1,0,42,16.7,574,14:43,21,40,145,157,48.0
762,Ryan Strome\stromry01,25,EDM,C,18,1,1,2,-1,14,-0.1,1,0,0,0,1,0,0,30,3.3,259,14:25,5,23,99,104,48.8
763,P.K. Subban\subbapk01,29,NSH,D,42,5,16,21,7,42,4.9,3,1,1,1,11,5,0,109,4.6,925,22:01,50,38,0,0,
764,Libor Sulak\sulakli01,24,DET,D,6,0,0,0,-4,6,-0.1,0,0,0,0,0,0,0,7,0.0,116,19:23,5,18,0,0,
765,Oskar Sundqvist\sundqos01,24,STL,C,50,11,11,22,5,18,3.0,10,0,1,2,10,1,0,75,14.7,644,12:53,22,52,116,153,43.1
766,Antti Suomela\suomean01,24,SJS,C,27,3,5,8,1,4,0.7,3,0,0,0,5,0,0,42,7.1,306,11:19,11,10,102,127,44.5
767,Andrej Sustr\sustran01,28,ANA,D,5,0,0,0,0,6,0.1,0,0,0,0,0,0,0,6,0.0,60,12:02,7,3,0,0,
768,Ryan Suter\suterry01,34,MIN,D,59,6,34,40,2,35,8.1,2,3,1,1,23,10,1,105,5.7,1579,26:46,81,49,1,0,100.0
769,Brandon Sutter\suttebr03,29,VAN,C,26,4,2,6,-12,6,0.0,2,1,1,0,2,0,0,43,9.3,454,17:28,13,33,224,238,48.5
770,Andrei Svechnikov\svechan01,18,CAR,RW,59,14,13,27,-3,50,3.3,14,0,0,2,9,4,0,144,9.7,867,14:42,15,93,1,6,14.3
771,Brandon Tanev\tanevbr01,27,WPG,LW,59,13,11,24,8,39,2.9,11,0,2,0,10,0,1,98,13.3,848,14:23,62,205,3,4,42.9
772,Chris Tanev\tanevch01,29,VAN,D,53,2,10,12,1,18,3.5,2,0,0,0,10,0,0,51,3.9,1087,20:31,120,29,0,0,
773,Vladimir Tarasenko\tarasvl01,27,STL,RW,57,26,25,51,1,22,6.9,16,10,0,4,19,6,0,206,12.6,1048,18:23,30,60,4,2,66.7
774,Tomas Tatar\tatarto01,28,MTL,C,58,18,25,43,13,24,5.2,14,4,0,3,22,3,0,148,12.2,949,16:22,21,56,8,23,25.8
775,John Tavares\tavarjo01,28,TOR,C,58,33,30,63,14,26,8.4,27,6,0,6,24,6,0,205,16.1,1109,19:07,37,38,594,490,54.8
776,Matt Tennyson\tennyma01,28,BUF,D,4,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,4,0.0,43,10:45,2,10,0,0,
777,Teuvo Teravainen\teravte01,24,CAR,C,59,17,35,52,22,12,7.0,9,7,1,1,23,9,3,124,13.7,1051,17:49,19,22,11,17,39.3
778,Troy Terry\terrytr01,21,ANA,C,12,1,1,2,0,0,0.1,0,1,0,0,1,0,0,8,12.5,165,13:43,5,2,0,2,0.0
779,Shea Theodore\theodsh01,23,VEG,D,59,9,17,26,-5,16,5.4,6,3,0,1,13,3,1,142,6.3,1176,19:56,65,21,1,0,100.0
780,Robert Thomas\thomaro01,19,STL,C,46,5,15,20,-2,10,2.0,4,1,0,0,12,3,0,49,10.2,564,12:15,17,9,80,106,43.0
781,Nate Thompson\thompna01,34,TOT,C,56,4,2,6,3,17,0.3,4,0,0,0,2,0,0,36,11.1,722,12:54,35,57,278,248,52.9
781,Nate Thompson\thompna01,34,LAK,C,53,4,2,6,3,17,0.4,4,0,0,0,2,0,0,35,11.4,685,12:55,34,54,263,232,53.1
781,Nate Thompson\thompna01,34,MTL,C,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,1,0.0,37,12:27,1,3,15,16,48.4
782,Tage Thompson\thompta01,21,BUF,C,50,7,4,11,-13,18,0.4,6,1,0,0,4,0,0,89,7.9,623,12:28,7,49,9,8,52.9
783,Chris Thorburn\thorbch01,35,STL,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,2,1:52,0,1,0,0,
784,Joe Thornton\thornjo01,39,SJS,C,50,10,21,31,4,12,3.0,7,3,0,3,16,5,0,60,16.7,773,15:27,8,13,230,205,52.9
785,Chris Tierney\tiernch01,24,OTT,C,58,6,33,39,-8,14,2.8,6,0,0,1,25,8,0,88,6.8,995,17:09,43,18,417,398,51.2
786,Brady Tkachuk\tkachbr01,19,OTT,LW,47,13,14,27,-1,59,2.9,11,2,0,2,10,4,0,133,9.8,723,15:23,15,115,28,28,50.0
787,Matthew Tkachuk\tkachma01,21,CGY,LW,58,24,34,58,9,50,6.8,15,9,0,1,22,12,0,145,16.6,1022,17:37,10,58,3,3,50.0
788,Devon Toews\toewsde01,24,NYI,D,24,4,5,9,9,0,3.0,3,1,0,2,4,1,0,42,9.5,428,17:50,17,11,0,0,
789,Jonathan Toews\toewsjo01,30,CHI,C,59,27,31,58,5,28,6.6,21,5,1,4,20,11,0,157,17.2,1225,20:46,26,23,747,565,56.9
790,Tyler Toffoli\toffoty01,26,LAK,C,58,12,15,27,-9,10,2.5,9,3,0,3,15,0,0,162,7.4,1012,17:27,18,26,19,14,57.6
791,Eeli Tolvanen\tolvaee01,19,NSH,RW,4,1,1,2,2,0,0.3,1,0,0,0,0,1,0,2,50.0,53,13:16,2,4,0,0,
792,Dominic Toninato\tonindo01,24,COL,C,2,1,0,1,0,0,0.2,1,0,0,0,0,0,0,1,100.0,13,6:42,1,0,0,4,0.0
793,Vincent Trocheck\trochvi01,25,FLA,C,30,5,15,20,-1,34,1.8,3,2,0,1,7,8,0,77,6.5,604,20:09,21,63,285,244,53.9
794,Jacob Trouba\troubja01,24,WPG,D,59,4,27,31,17,50,7.0,2,2,0,1,19,6,2,114,3.5,1331,22:34,120,76,0,0,
795,Alex Tuch\tuchal01,22,VEG,RW,52,16,26,42,9,6,5.1,13,3,0,6,23,3,0,130,12.3,892,17:10,30,66,36,64,36.0
796,Kyle Turris\turriky01,29,NSH,C,36,6,12,18,-5,19,1.5,3,3,0,1,10,2,0,52,11.5,568,15:46,8,15,195,189,50.8
797,Urho Vaakanainen\vaakaur01,20,BOS,D,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,18,9:06,0,0,0,0,
798,Juuso Valimaki\valimju01,20,CGY,D,22,1,1,2,-3,12,0.4,1,0,0,1,1,0,0,23,4.3,332,15:05,41,19,0,0,
799,James van Riemsdyk\vanrija01,29,PHI,LW,43,15,14,29,-6,16,3.3,9,6,0,2,12,2,0,92,16.3,678,15:46,13,20,6,3,66.7
800,Trevor van Riemsdyk\vanritr01,27,CAR,D,55,2,9,11,-3,6,3.3,2,0,0,1,9,0,0,70,2.9,828,15:04,62,22,0,0,
801,Thomas Vanek\vanekth01,35,DET,LW,52,12,17,29,-9,24,2.8,10,2,0,1,11,6,0,82,14.6,730,14:03,9,32,7,14,33.3
802,Phil Varone\varonph01,28,PHI,C,29,3,4,7,1,2,0.8,3,0,0,0,4,0,0,19,15.8,225,7:46,12,12,63,56,52.9
803,Sami Vatanen\vatansa01,27,NJD,D,46,4,13,17,-15,20,2.7,1,3,0,0,11,2,0,102,3.9,1000,21:44,70,63,0,0,
804,Frank Vatrano\vatrafr01,24,FLA,LW,56,20,11,31,-3,28,4.0,19,1,0,1,5,6,0,144,13.9,815,14:34,50,82,13,22,37.1
805,Kristian Vesalainen\vesalkr01,19,WPG,W,5,0,1,1,0,0,0.1,0,0,0,0,1,0,0,1,0.0,34,6:50,1,1,0,0,
806,Jimmy Vesey\veseyji02,25,NYR,LW,57,13,14,27,1,19,3.0,12,1,0,3,11,3,0,108,12.0,909,15:57,26,59,5,16,23.8
807,Jake Virtanen\virtaja01,22,VAN,RW,58,12,10,22,-3,40,2.3,10,2,0,1,10,0,0,136,8.8,859,14:49,28,119,5,10,33.3
808,Marc-Edouard Vlasic\vlasima01,31,SJS,D,49,1,11,12,-11,10,1.9,1,0,0,0,10,1,0,71,1.4,1057,21:35,74,12,0,0,
809,Jakub Voracek\voracja01,29,PHI,RW,59,15,35,50,-12,14,4.7,13,2,0,2,25,10,0,154,9.7,1104,18:43,25,15,8,12,40.0
810,Mikhail Vorobyev\vorobmi01,22,PHI,C,15,1,1,2,0,2,0.1,1,0,0,0,1,0,0,10,10.0,140,9:20,4,4,25,46,35.2
811,Jakub Vrana\vranaja01,22,WSH,LW,59,18,18,36,17,16,4.5,17,1,0,4,17,1,0,120,15.0,842,14:16,28,34,4,3,57.1
812,Austin Wagner\wagneau01,21,LAK,LW,42,8,5,13,1,10,1.8,8,0,0,0,5,0,0,45,17.8,362,8:38,5,91,2,2,50.0
813,Chris Wagner\wagnech01,27,BOS,C,56,7,5,12,1,37,1.3,7,0,0,1,5,0,0,101,6.9,731,13:03,22,194,46,51,47.4
814,Nathan Walker\walkena01,24,WSH,C,3,0,1,1,1,2,0.1,0,0,0,0,1,0,0,2,0.0,24,8:09,0,5,0,0,
815,Sean Walker\walkese01,24,LAK,D,22,1,3,4,-2,2,1.0,1,0,0,0,3,0,0,31,3.2,325,14:48,21,23,0,0,
816,Lucas Wallmark\wallmlu01,23,CAR,C,59,7,14,21,-8,26,1.8,5,2,0,3,10,4,0,102,6.9,893,15:09,32,58,426,422,50.2
817,Austin Watson\watsoau01,27,NSH,LW,34,7,6,13,9,39,1.7,6,1,0,1,6,0,0,59,11.9,492,14:29,26,99,7,9,43.8
818,Jordan Weal\wealjo01,26,TOT,C,43,3,7,10,-6,16,0.5,3,0,0,0,5,2,0,41,7.3,555,12:55,14,18,226,182,55.4
818,Jordan Weal\wealjo01,26,PHI,C,28,3,6,9,-5,16,0.5,3,0,0,0,4,2,0,33,9.1,391,13:57,8,8,166,112,59.7
818,Jordan Weal\wealjo01,26,ARI,C,15,0,1,1,-1,0,-0.1,0,0,0,0,1,0,0,8,0.0,165,11:00,6,10,60,70,46.2
819,Shea Weber\webersh01,33,MTL,D,35,9,12,21,13,20,5.3,6,3,0,2,11,1,0,85,10.6,845,24:08,61,80,0,0,
820,Yannick Weber\weberya01,30,NSH,D,47,2,6,8,8,14,2.7,2,0,0,0,6,0,0,55,3.6,580,12:21,20,46,0,0,
821,MacKenzie Weegar\weegama01,25,FLA,D,44,1,6,7,-6,46,1.7,1,0,0,0,5,1,0,55,1.8,714,16:13,58,72,1,0,100.0
822,Dale Weise\weiseda01,30,TOT,RW,45,5,6,11,-6,19,0.7,4,0,1,1,6,0,0,55,9.1,540,12:00,18,70,4,10,28.6
822,Dale Weise\weiseda01,30,PHI,RW,42,5,6,11,-6,15,0.8,4,0,1,1,6,0,0,53,9.4,510,12:08,16,67,2,8,20.0
822,Dale Weise\weiseda01,30,MTL,RW,3,0,0,0,0,4,0.0,0,0,0,0,0,0,0,2,0.0,30,9:58,2,3,2,2,50.0
823,Andy Welinski\welinan01,25,ANA,D,19,0,2,2,-3,8,0.5,0,0,0,0,2,0,0,21,0.0,276,14:33,12,29,0,0,
824,Alexander Wennberg\wennbal01,24,CBJ,C,57,2,21,23,0,10,1.3,0,1,1,0,14,5,2,53,3.8,895,15:42,30,25,285,309,48.0
825,Zach Werenski\werenza01,21,CBJ,D,57,9,21,30,-9,14,5.2,8,1,0,1,12,9,0,119,7.6,1273,22:20,62,44,0,0,
826,Blake Wheeler\wheelbl01,32,WPG,RW,59,12,56,68,6,43,6.6,9,1,2,1,35,21,0,169,7.1,1258,21:20,44,61,26,50,34.2
827,Colin White\whiteco02,22,OTT,C,52,11,18,29,-10,16,2.4,6,5,0,2,18,0,0,92,12.0,819,15:45,26,17,295,323,47.7
828,Chris Wideman\widemch01,29,TOT,D,25,2,5,7,-12,18,0.5,2,0,0,1,4,1,0,27,7.4,326,13:03,26,35,0,0,
828,Chris Wideman\widemch01,29,OTT,D,19,2,3,5,-9,12,0.4,2,0,0,1,2,1,0,19,10.5,257,13:33,25,26,0,0,
828,Chris Wideman\widemch01,29,EDM,D,5,0,2,2,-2,4,0.1,0,0,0,0,2,0,0,6,0.0,57,11:26,1,7,0,0,
828,Chris Wideman\widemch01,29,FLA,D,1,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,2,0.0,12,11:53,0,2,0,0,
829,Justin Williams\williju01,37,CAR,RW,59,15,23,38,-9,30,4.2,8,7,0,3,19,4,0,166,9.0,1012,17:09,19,42,60,97,38.2
830,Colin Wilson\wilsoco01,29,COL,C,46,10,8,18,-8,6,1.5,6,4,0,2,7,1,0,76,13.2,601,13:04,20,37,17,25,40.5
831,Garrett Wilson\wilsoga01,27,PIT,LW,29,1,5,6,1,9,0.4,1,0,0,0,5,0,0,30,3.3,228,7:52,8,72,1,3,25.0
